"pt_standard_en","analysis_group","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal","ror_95ci_range"
"Blood pressure immeasurable","Iodixanol","Blood pressure immeasurable","血压不可测","Investigations","各类检查","10","10","2259","1470","19902740","2269","1480","19906479","59.93","32.14","111.78","59.68","573.06","5.89","5.25","0.1687","15.7","7.52","1","1","1","1","1","1","59.93 (32.14, 111.78)"
"Sepsis syndrome","Iodixanol","Sepsis syndrome","脓毒症综合征","Infections and infestations","感染及侵染类疾病","3","3","2266","497","19903713","2269","500","19906479","53.02","17.03","165.08","52.95","152","5.72","4.56","0.057","6.28","2.13","1","1","1","1","1","1","53.02 (17.03, 165.08)"
"AURICULAR SWELLING","Iodixanol","AURICULAR SWELLING","耳肿胀","Ear and labyrinth disorders","耳及迷路类疾病","3","3","2266","595","19903615","2269","598","19906479","44.29","14.23","137.81","44.23","126.13","5.46","4.3","0.0682","6.16","2.09","1","1","1","1","1","1","44.29 (14.23, 137.81)"
"Parotid gland enlargement","Iodixanol","Parotid gland enlargement","腮腺增大","Gastrointestinal disorders","胃肠系统疾病","3","3","2266","623","19903587","2269","626","19906479","42.3","13.59","131.6","42.24","120.22","5.39","4.24","0.0714","6.13","2.07","1","1","1","1","1","1","42.30 (13.59, 131.60)"
"Skin induration","Iodixanol","Skin induration","皮肤硬结","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","9","9","2260","1958","19902252","2269","1967","19906479","40.48","21","78.01","40.32","343.57","5.33","4.66","0.2242","13.12","6.16","1","1","1","1","1","1","40.48 (21.00, 78.01)"
"TYPE IV HYPERSENSITIVITY REACTION","Iodixanol","TYPE IV HYPERSENSITIVITY REACTION","IV型超敏反应","Immune system disorders","免疫系统疾病","11","11","2258","2575","19901635","2269","2586","19906479","37.65","20.79","68.17","37.47","388.89","5.22","4.62","0.2948","14.47","7.05","1","1","1","1","1","1","37.65 (20.79, 68.17)"
"EYELID OEDEMA","Iodixanol","EYELID OEDEMA","眼睑水肿","Eye disorders","眼器官疾病","46","46","2223","11334","19892876","2269","11380","19906479","36.32","27.11","48.66","35.6","1541.65","5.15","4.85","1.2971","25.87","14.57","1","1","1","1","1","1","36.32 (27.11, 48.66)"
"Symmetrical drug-related intertriginous and flexural exanthema","Iodixanol","Symmetrical drug-related intertriginous and flexural exanthema","对称性药物相关性擦烂疹和弯曲疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","3","3","2266","733","19903477","2269","736","19906479","35.95","11.56","111.81","35.9","101.38","5.16","4","0.0839","5.99","2.03","1","1","1","1","1","1","35.95 (11.56, 111.81)"
"EXTRAVASATION","Iodixanol","EXTRAVASATION","外渗","General disorders and administration site conditions","全身性疾病及给药部位各种反应","16","16","2253","3950","19900260","2269","3966","19906479","35.78","21.86","58.56","35.53","534.92","5.15","4.64","0.4521","17.33","8.93","1","1","1","1","1","1","35.78 (21.86, 58.56)"
"Hyperaemia","Iodixanol","Hyperaemia","充血","Vascular disorders","血管与淋巴管类疾病","7","7","2262","1868","19902342","2269","1875","19906479","32.97","15.68","69.34","32.87","215.53","5.03","4.28","0.2137","10.51","4.67","1","1","1","1","1","1","32.97 (15.68, 69.34)"
"Acute generalised exanthematous pustulosis","Iodixanol","Acute generalised exanthematous pustulosis","急性泛发性发疹性脓疱病","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","24","24","2245","7263","19896947","2269","7287","19906479","29.29","19.57","43.82","28.99","646.62","4.85","4.44","0.8306","18.41","9.91","1","1","1","1","1","1","29.29 (19.57, 43.82)"
"Laryngeal oedema","Iodixanol","Laryngeal oedema","喉水肿","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","19","19","2250","5856","19898354","2269","5875","19906479","28.69","18.25","45.1","28.46","501.96","4.83","4.36","0.6697","16.67","8.77","1","1","1","1","1","1","28.69 (18.25, 45.10)"
"Nephropathy toxic","Iodixanol","Nephropathy toxic","中毒性肾病","Renal and urinary disorders","肾脏及泌尿系统疾病","31","31","2238","10373","19893837","2269","10404","19906479","26.57","18.63","37.89","26.22","750.03","4.71","4.35","1.1859","18.68","10.27","1","1","1","1","1","1","26.57 (18.63, 37.89)"
"Lip oedema","Iodixanol","Lip oedema","唇部水肿","Gastrointestinal disorders","胃肠系统疾病","12","12","2257","4021","19900189","2269","4033","19906479","26.31","14.91","46.44","26.18","289.8","4.71","4.13","0.4597","13.02","6.44","1","1","1","1","1","1","26.31 (14.91, 46.44)"
"Kounis syndrome","Iodixanol","Kounis syndrome","过敏性冠状动脉痉挛综合征","Cardiac disorders","心脏器官疾病","6","6","2263","2052","19902158","2269","2058","19906479","25.72","11.53","57.37","25.65","141.73","4.68","3.86","0.2346","8.85","3.78","1","1","1","1","1","1","25.72 (11.53, 57.37)"
"Face oedema","Iodixanol","Face oedema","面部水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","43","43","2226","16224","19887986","2269","16267","19906479","23.68","17.5","32.03","23.25","913.92","4.54","4.23","1.8542","18.48","10.37","1","1","1","1","1","1","23.68 (17.50, 32.03)"
"Skin tightness","Iodixanol","Skin tightness","皮肤紧缩感","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","12","12","2257","4470","19899740","2269","4482","19906479","23.67","13.41","41.77","23.55","258.47","4.55","3.97","0.5109","12.37","6.11","1","1","1","1","1","1","23.67 (13.41, 41.77)"
"Dermatitis allergic","Iodixanol","Dermatitis allergic","过敏性皮炎","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","30","30","2239","11540","19892670","2269","11570","19906479","23.1","16.1","33.13","22.8","624.2","4.51","4.14","1.3188","16.77","9.2","1","1","1","1","1","1","23.10 (16.10, 33.13)"
"Pulse absent","Iodixanol","Pulse absent","脉搏消失","Investigations","各类检查","12","12","2257","4610","19899600","2269","4622","19906479","22.95","13","40.5","22.83","249.95","4.51","3.93","0.5268","12.17","6.02","1","1","1","1","1","1","22.95 (13.00, 40.50)"
"Dermatitis exfoliative","Iodixanol","Dermatitis exfoliative","剥脱性皮炎","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","11","11","2258","4907","19899303","2269","4918","19906479","19.76","10.92","35.75","19.66","194.48","4.29","3.69","0.5606","10.84","5.28","1","1","1","1","1","1","19.76 (10.92, 35.75)"
"NEPHROPATHY","Iodixanol","NEPHROPATHY","肾病","Renal and urinary disorders","肾脏及泌尿系统疾病","20","20","2249","8974","19895236","2269","8994","19906479","19.72","12.69","30.63","19.55","351.41","4.29","3.84","1.0252","13.44","7.11","1","1","1","1","1","1","19.72 (12.69, 30.63)"
"Rash pustular","Iodixanol","Rash pustular","脓疱疹","Infections and infestations","感染及侵染类疾病","15","15","2254","7061","19897149","2269","7076","19906479","18.75","11.28","31.18","18.64","249.89","4.22","3.7","0.8065","11.86","6.06","1","1","1","1","1","1","18.75 (11.28, 31.18)"
"ANAPHYLACTIC SHOCK","Iodixanol","ANAPHYLACTIC SHOCK","过敏性休克","Immune system disorders","免疫系统疾病","50","50","2219","24057","19880153","2269","24107","19906479","18.62","14.06","24.65","18.23","813.65","4.19","3.9","2.7478","15.55","8.79","1","1","1","1","1","1","18.62 (14.06, 24.65)"
"Cyanosis","Iodixanol","Cyanosis","发绀","Vascular disorders","血管与淋巴管类疾病","31","31","2238","15116","19889094","2269","15147","19906479","18.23","12.78","25.99","17.99","496.78","4.17","3.8","1.7265","14.15","7.78","1","1","1","1","1","1","18.23 (12.78, 25.99)"
"Foaming at mouth","Iodixanol","Foaming at mouth","口吐白沫","General disorders and administration site conditions","全身性疾病及给药部位各种反应","4","4","2265","1929","19902281","2269","1933","19906479","18.22","6.83","48.64","18.19","64.85","4.18","3.18","0.2203","6.25","2.36","1","1","1","1","1","1","18.22 (6.83, 48.64)"
"RENAL TUBULAR NECROSIS","Iodixanol","RENAL TUBULAR NECROSIS","肾小管坏死","Renal and urinary disorders","肾脏及泌尿系统疾病","19","19","2250","9348","19894862","2269","9367","19906479","17.97","11.44","28.24","17.83","301.36","4.15","3.69","1.0677","12.44","6.54","1","1","1","1","1","1","17.97 (11.44, 28.24)"
"ERYTHEMA MULTIFORME","Iodixanol","ERYTHEMA MULTIFORME","多形性红斑","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","18","18","2251","8870","19895340","2269","8888","19906479","17.94","11.27","28.53","17.8","284.99","4.15","3.68","1.0131","12.23","6.39","1","1","1","1","1","1","17.94 (11.27, 28.53)"
"Dermatitis bullous","Iodixanol","Dermatitis bullous","大疱性皮炎","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","13","13","2256","6842","19897368","2269","6855","19906479","16.76","9.71","28.92","16.67","191.16","4.06","3.5","0.7814","10.54","5.27","1","1","1","1","1","1","16.76 (9.71, 28.92)"
"Purpura","Iodixanol","Purpura","紫癜","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","16","16","2253","8449","19895761","2269","8465","19906479","16.72","10.22","27.36","16.61","234.41","4.05","3.55","0.9649","11.26","5.8","1","1","1","1","1","1","16.72 (10.22, 27.36)"
"Macule","Iodixanol","Macule","斑疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","5","5","2264","2651","19901559","2269","2656","19906479","16.58","6.89","39.9","16.55","72.9","4.05","3.15","0.3027","6.85","2.78","1","1","1","1","1","1","16.58 (6.89, 39.90)"
"Anaphylactic reaction","Iodixanol","Anaphylactic reaction","速发严重过敏反应","Immune system disorders","免疫系统疾病","90","90","2179","51321","19852889","2269","51411","19906479","15.98","12.94","19.73","15.38","1211.38","3.94","3.73","5.86","14.23","8.22","1","1","1","1","1","1","15.98 (12.94, 19.73)"
"Papule","Iodixanol","Papule","丘疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","11","11","2258","6501","19897709","2269","6512","19906479","14.91","8.24","26.98","14.84","141.82","3.89","3.28","0.7423","9.26","4.51","1","1","1","1","1","1","14.91 (8.24, 26.98)"
"Rash maculo-papular","Iodixanol","Rash maculo-papular","斑丘疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","34","34","2235","20907","19883303","2269","20941","19906479","14.47","10.31","20.31","14.27","419.18","3.83","3.49","2.3869","11.95","6.61","1","1","1","1","1","1","14.47 (10.31, 20.31)"
"SNEEZING","Iodixanol","SNEEZING","喷嚏","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","34","34","2235","21137","19883073","2269","21171","19906479","14.31","10.2","20.08","14.11","413.95","3.82","3.47","2.4131","11.84","6.55","1","1","1","1","1","1","14.31 (10.20, 20.08)"
"Eosinophilia","Iodixanol","Eosinophilia","嗜酸性粒细胞增多症","Blood and lymphatic system disorders","血液及淋巴系统疾病","26","26","2243","16364","19887846","2269","16390","19906479","14.09","9.57","20.74","13.94","312.01","3.8","3.4","1.8682","11.19","6.07","1","1","1","1","1","1","14.09 (9.57, 20.74)"
"Bronchospasm","Iodixanol","Bronchospasm","支气管痉挛","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","21","21","2248","13701","19890509","2269","13722","19906479","13.56","8.82","20.85","13.45","241.71","3.75","3.31","1.5641","10.42","5.54","1","1","1","1","1","1","13.56 (8.82, 20.85)"
"Urticaria","Iodixanol","Urticaria","荨麻疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","213","213","2056","155821","19748389","2269","156034","19906479","13.13","11.4","15.12","11.99","2159.9","3.58","3.44","17.7852","11.68","6.86","1","1","1","1","1","1","13.13 (11.40, 15.12)"
"Coma scale abnormal","Iodixanol","Coma scale abnormal","昏迷评分异常","Investigations","各类检查","4","4","2265","2690","19901520","2269","2694","19906479","13.07","4.9","34.87","13.04","44.42","3.7","2.7","0.3071","5.58","2.11","1","1","1","1","1","1","13.07 (4.90, 34.87)"
"Skin warm","Iodixanol","Skin warm","皮肤发热","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","8","8","2261","5544","19898666","2269","5552","19906479","12.7","6.34","25.44","12.66","85.8","3.66","2.95","0.6328","7.5","3.44","1","1","1","1","1","1","12.70 (6.34, 25.44)"
"SWELLING FACE","Iodixanol","SWELLING FACE","面部肿胀","General disorders and administration site conditions","全身性疾病及给药部位各种反应","86","86","2183","61761","19842449","2269","61847","19906479","12.66","10.2","15.7","12.22","887.06","3.61","3.39","7.0495","11.46","6.61","1","1","1","1","1","1","12.66 (10.20, 15.70)"
"Stridor","Iodixanol","Stridor","喘鸣","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","4","4","2265","2810","19901400","2269","2814","19906479","12.51","4.69","33.38","12.49","42.21","3.64","2.64","0.3207","5.48","2.07","1","1","1","1","1","1","12.51 (4.69, 33.38)"
"Tongue oedema","Iodixanol","Tongue oedema","舌水肿","Gastrointestinal disorders","胃肠系统疾病","5","5","2264","3663","19900547","2269","3668","19906479","12","4.99","28.87","11.97","50.23","3.58","2.68","0.4181","5.99","2.43","1","1","1","1","1","1","12.00 (4.99, 28.87)"
"Toxic skin eruption","Iodixanol","Toxic skin eruption","中毒性皮疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","13","13","2256","9655","19894555","2269","9668","19906479","11.87","6.88","20.49","11.81","128.54","3.56","3","1.102","8.43","4.22","1","1","1","1","1","1","11.87 (6.88, 20.49)"
"Cold sweat","Iodixanol","Cold sweat","冷汗","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","22","22","2247","16927","19887283","2269","16949","19906479","11.5","7.56","17.51","11.4","208.66","3.51","3.08","1.9319","9.25","4.94","1","1","1","1","1","1","11.50 (7.56, 17.51)"
"Acute pulmonary oedema","Iodixanol","Acute pulmonary oedema","急性肺水肿","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","7","7","2262","5412","19898798","2269","5419","19906479","11.38","5.42","23.91","11.35","65.97","3.5","2.74","0.6177","6.71","2.98","1","1","1","1","1","1","11.38 (5.42, 23.91)"
"Hyperthyroidism","Iodixanol","Hyperthyroidism","甲状腺功能亢进症","Endocrine disorders","内分泌系统疾病","17","17","2252","13553","19890657","2269","13570","19906479","11.08","6.87","17.86","11","154.51","3.46","2.97","1.5467","8.55","4.44","1","1","1","1","1","1","11.08 (6.87, 17.86)"
"Tachypnoea","Iodixanol","Tachypnoea","呼吸急促","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","16","16","2253","12827","19891383","2269","12843","19906479","11.01","6.73","18.01","10.94","144.45","3.45","2.95","1.4639","8.4","4.33","1","1","1","1","1","1","11.01 (6.73, 18.01)"
"THROAT TIGHTNESS","Iodixanol","THROAT TIGHTNESS","咽喉缩紧感","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","31","31","2238","25651","19878559","2269","25682","19906479","10.73","7.53","15.3","10.6","269.59","3.4","3.04","2.9273","9.19","5.05","1","1","1","1","1","1","10.73 (7.53, 15.30)"
"ANURIA","Iodixanol","ANURIA","无尿","Renal and urinary disorders","肾脏及泌尿系统疾病","10","10","2259","8338","19895872","2269","8348","19906479","10.56","5.67","19.67","10.52","86.09","3.39","2.76","0.9515","7.23","3.47","1","1","1","1","1","1","10.56 (5.67, 19.67)"
"HAEMODIALYSIS","Iodixanol","HAEMODIALYSIS","血液透析","Surgical and medical procedures","各种手术及医疗操作","10","10","2259","8384","19895826","2269","8394","19906479","10.5","5.64","19.56","10.46","85.52","3.39","2.75","0.9568","7.21","3.45","1","1","1","1","1","1","10.50 (5.64, 19.56)"
"INFUSION SITE EXTRAVASATION","Iodixanol","INFUSION SITE EXTRAVASATION","输液部位渗出","General disorders and administration site conditions","全身性疾病及给药部位各种反应","7","7","2262","5939","19898271","2269","5946","19906479","10.37","4.94","21.78","10.34","59","3.37","2.61","0.6777","6.37","2.83","1","1","1","1","1","1","10.37 (4.94, 21.78)"
"Pruritus","Iodixanol","Pruritus","瘙痒","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","350","350","1919","349512","19554698","2269","349862","19906479","10.2","9.11","11.44","8.78","2455.15","3.13","3.02","39.8783","8.68","5.12","1","1","1","1","1","1","10.20 (9.11, 11.44)"
"UNRESPONSIVE TO STIMULI","Iodixanol","UNRESPONSIVE TO STIMULI","刺激反应消失","Nervous system disorders","各类神经系统疾病","28","28","2241","24350","19879860","2269","24378","19906479","10.2","7.03","14.81","10.09","229.23","3.33","2.95","2.7787","8.69","4.74","1","1","1","1","1","1","10.20 (7.03, 14.81)"
"Erythema","Iodixanol","Erythema","红斑","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","204","204","2065","195128","19709082","2269","195332","19906479","9.98","8.64","11.52","9.17","1498.3","3.2","3.05","22.2645","8.98","5.27","1","1","1","1","1","1","9.98 (8.64, 11.52)"
"Petechiae","Iodixanol","Petechiae","瘀点","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","11","11","2258","9805","19894405","2269","9816","19906479","9.88","5.46","17.88","9.84","87.32","3.3","2.69","1.1189","7.1","3.46","1","1","1","1","1","1","9.88 (5.46, 17.88)"
"Localised oedema","Iodixanol","Localised oedema","局部水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","5","5","2264","4452","19899758","2269","4457","19906479","9.87","4.1","23.75","9.85","39.73","3.3","2.4","0.508","5.46","2.22","1","1","1","1","1","1","9.87 (4.10, 23.75)"
"ANGIOEDEMA","Iodixanol","ANGIOEDEMA","血管性水肿","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","45","45","2224","41793","19862417","2269","41838","19906479","9.62","7.16","12.92","9.45","340.16","3.24","2.94","4.7688","8.64","4.86","1","1","1","1","1","1","9.62 (7.16, 12.92)"
"RASH ERYTHEMATOUS","Iodixanol","RASH ERYTHEMATOUS","红色皮疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","45","45","2224","43030","19861180","2269","43075","19906479","9.34","6.95","12.55","9.17","328.1","3.2","2.89","4.9098","8.41","4.73","1","1","1","1","1","1","9.34 (6.95, 12.55)"
"Generalised erythema","Iodixanol","Generalised erythema",,,,"6","6","2263","5684","19898526","2269","5690","19906479","9.28","4.16","20.69","9.26","44.17","3.21","2.39","0.6486","5.66","2.42","1","1","1","1","1","1","9.28 (4.16, 20.69)"
"SHOCK","Iodixanol","SHOCK","休克","Vascular disorders","血管与淋巴管类疾病","22","22","2247","21494","19882716","2269","21516","19906479","9.06","5.95","13.79","8.98","155.99","3.17","2.74","2.4525","7.62","4.07","1","1","1","1","1","1","9.06 (5.95, 13.79)"
"Periorbital oedema","Iodixanol","Periorbital oedema","眼眶周围水肿","Eye disorders","眼器官疾病","5","5","2264","4910","19899300","2269","4915","19906479","8.95","3.72","21.53","8.93","35.2","3.16","2.26","0.5602","5.19","2.11","1","1","1","1","1","1","8.95 (3.72, 21.53)"
"Hypothyroidism","Iodixanol","Hypothyroidism","甲状腺功能减退症","Endocrine disorders","内分泌系统疾病","30","30","2239","29815","19874395","2269","29845","19906479","8.93","6.23","12.81","8.83","208.3","3.14","2.77","3.4018","7.82","4.29","1","1","1","1","1","1","8.93 (6.23, 12.81)"
"Pharyngeal oedema","Iodixanol","Pharyngeal oedema","咽部水肿","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","15","15","2254","15227","19888983","2269","15242","19906479","8.69","5.23","14.45","8.64","101.34","3.11","2.59","1.7373","6.93","3.54","1","1","1","1","1","1","8.69 (5.23, 14.45)"
"Drug eruption","Iodixanol","Drug eruption","药疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","16","16","2253","16433","19887777","2269","16449","19906479","8.59","5.25","14.06","8.54","106.52","3.09","2.59","1.8749","6.95","3.58","1","1","1","1","1","1","8.59 (5.25, 14.06)"
"Heart rate abnormal","Iodixanol","Heart rate abnormal","心率异常","Investigations","各类检查","5","5","2264","5213","19898997","2269","5218","19906479","8.43","3.5","20.28","8.41","32.64","3.07","2.18","0.5948","5.02","2.04","1","1","1","1","1","1","8.43 (3.50, 20.28)"
"Rash generalised","Iodixanol","Rash generalised",,,,"24","24","2245","25811","19878399","2269","25835","19906479","8.23","5.51","12.31","8.16","150.76","3.03","2.62","2.9448","7.11","3.83","1","1","1","1","1","1","8.23 (5.51, 12.31)"
"CARDIO-RESPIRATORY ARREST","Iodixanol","CARDIO-RESPIRATORY ARREST","心脏呼吸骤停","Cardiac disorders","心脏器官疾病","37","37","2232","40501","19863709","2269","40538","19906479","8.13","5.87","11.25","8.01","227.39","3","2.67","4.6206","7.32","4.07","1","1","1","1","1","1","8.13 (5.87, 11.25)"
"Skin swelling","Iodixanol","Skin swelling","皮肤肿胀","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","7","7","2262","7777","19896433","2269","7784","19906479","7.92","3.77","16.63","7.9","42.14","2.98","2.22","0.8872","5.41","2.4","1","1","1","1","1","1","7.92 (3.77, 16.63)"
"Cardiogenic shock","Iodixanol","Cardiogenic shock","心源性休克","Cardiac disorders","心脏器官疾病","12","12","2257","13392","19890818","2269","13404","19906479","7.9","4.48","13.93","7.86","71.84","2.97","2.39","1.5278","6.16","3.05","1","1","1","1","1","1","7.90 (4.48, 13.93)"
"Sensation of foreign body","Iodixanol","Sensation of foreign body","异物感","General disorders and administration site conditions","全身性疾病及给药部位各种反应","7","7","2262","7797","19896413","2269","7804","19906479","7.9","3.76","16.59","7.88","42","2.98","2.22","0.8895","5.4","2.4","1","1","1","1","1","1","7.90 (3.76, 16.59)"
"HEMIPLEGIA","Iodixanol","HEMIPLEGIA","偏瘫","Nervous system disorders","各类神经系统疾病","7","7","2262","7959","19896251","2269","7966","19906479","7.74","3.68","16.25","7.72","40.89","2.95","2.19","0.908","5.33","2.37","1","1","1","1","1","1","7.74 (3.68, 16.25)"
"Hemiparesis","Iodixanol","Hemiparesis","单侧轻瘫","Nervous system disorders","各类神经系统疾病","14","14","2255","16328","19887882","2269","16342","19906479","7.56","4.47","12.79","7.52","79.16","2.91","2.37","1.8627","6.14","3.11","1","1","1","1","1","1","7.56 (4.47, 12.79)"
"Circulatory collapse","Iodixanol","Circulatory collapse","循环性虚脱","Vascular disorders","血管与淋巴管类疾病","14","14","2255","16394","19887816","2269","16408","19906479","7.53","4.45","12.74","7.49","78.74","2.9","2.37","1.8702","6.12","3.1","1","1","1","1","1","1","7.53 (4.45, 12.74)"
"Blindness transient","Iodixanol","Blindness transient","一过性失明","Eye disorders","眼器官疾病","6","6","2263","7013","19897197","2269","7019","19906479","7.52","3.37","16.77","7.51","33.81","2.91","2.09","0.8","5","2.14","1","1","1","1","1","1","7.52 (3.37, 16.77)"
"Troponin increased","Iodixanol","Troponin increased","肌钙蛋白升高","Investigations","各类检查","6","6","2263","7040","19897170","2269","7046","19906479","7.49","3.36","16.7","7.48","33.64","2.9","2.08","0.8031","4.99","2.13","1","1","1","1","1","1","7.49 (3.36, 16.70)"
"Ventricular fibrillation","Iodixanol","Ventricular fibrillation","室颤","Cardiac disorders","心脏器官疾病","9","9","2260","10595","19893615","2269","10604","19906479","7.48","3.88","14.39","7.45","50.26","2.9","2.23","1.2087","5.56","2.61","1","1","1","1","1","1","7.48 (3.88, 14.39)"
