relevance	route	pmid	doi	year	pubdate	title	journal	authors	queries	abstract
????LLM/???AI + ??/???/?????????	????/????	41982325	10.1227/neuprac.0000000000000217	2026	2026 Jun	A Multi-AI Agent Framework for Interactive Neurosurgical Education and Evaluation: From Vignettes to Virtual Conversations.	Neurosurgery practice	Sangwon KL; Zhang J; Steele R; Stryker J; Choi JJ; Lee JV; Alber DA; Valliani A	Q1_precise_llm_virtual_standardized_patient;Q2_llm_education_patient_simulation;Q4_virtual_patient_generative_ai	Traditional medical board examinations present clinical information in static vignettes with multiple-choices (MC), fundamentally different from how physicians gather and integrate data in practice. Recent advances in large language models (LLMs) offer promising approaches to creating more realistic clinical interactive conversations. However, these approaches are limited in neurosurgery, where patient communication capacity varies significantly and diagnosis heavily relies on objective data such as imaging and neurological examinations. We aimed to develop and evaluate a multi-artificial intelligence (AI) agent conversation framework for neurosurgical case assessment that enables realistic clinical interactions through simulated patients and structured access to objective clinical data. We developed a framework to convert 608 Self-Assessment in Neurological Surgery first-order diagnosis questions into conversation sessions using 3 specialized AI agents: patient AI for subjective information, system AI for objective data, and clinical AI for diagnostic reasoning. We evaluated generative pretrained transformer 4o's (GPT-4o's) diagnostic accuracy across traditional vignettes, patient-only conversations, and patient + system AI interactions, with human benchmark testing from 10 neurosurgery residents. GPT-4o showed significant performance drops from traditional vignettes to conversational formats in both MC (89.0%-60.9%, P < .0001) and free-response scenarios (78.4%-30.3%, P < .0001). Adding access to objective data through system AI improved performance (to 67.4%, P = .0015; and 61.8%, P < .0001, respectively). Questions requiring image interpretation showed similar patterns but lower accuracy. Residents outperformed GPT-4o in free-response conversations (70.0% vs 28.3%, P = .0030) using fewer interactions and reported high educational value of the interactive format. This multi-AI agent framework provides both a more challenging evaluation method for LLMs and an engaging educational tool for neurosurgical training. The significant performance drops in conversational formats suggest that traditional MC testing may overestimate LLMs' clinical reasoning capabilities, while the framework's interactive nature offers promising applications for enhancing medical education.
????LLM/???AI + ??/???/?????????	????	40692414	10.1111/iej.14277	2026	2026 Jun	Endodontic diagnostics training in undergraduate dental education: An observational pilot study on AI-driven virtual patient e-learning.	International endodontic journal	Prinz M; Schäfer E; Bürklein S; Donnermeyer D	Q1_precise_llm_virtual_standardized_patient	To develop and evaluate an e-learning tool utilizing a generative pre-trained transformer (GPT), a form of artificial intelligence (AI), to allow for realistic conversation on virtual patients when undergoing training on how to diagnose diseases of endodontic origin, and to evaluate improvements in self-perceived skills. A web app consisting of three components [website for user access, database server with patient case information, GPT-4-turbo model (OpenAI)] was designed to serve as the e-learning platform. Undergraduate students from 4th and 5th year at the dental school of the University of Münster, Germany, were asked to solve eight cases of virtual patients presenting with pain from endodontic or periodontal origin. Before, a questionnaire applying a 5-point Likert scale served to evaluate the current self-perceived state regarding the education, experience and skills in endodontic diagnostics and emergency treatment. After a 3-month timeframe of working with the programme individually, the students were asked to answer a second questionnaire which focused on their experience and self-perceived skills improvement after using the training software. Ninety-two students participated in the first questionnaire and 72 students finished the second questionnaire, resulting in a drop-out rate of 21.7%. Students in the 5th-year reported more experience in dealing with emergency patients. Initially, both cohorts mainly did not feel confident to perform endodontic diagnostics independently. The evaluation of confidence to perform endodontic diagnostics independently, both by 4th- and 5th-year students, seemed improved after the training on the e-learning tool. The tool was recommended to be available for endodontic education by 72.2% of the students, who strongly agreed to such a statement. 76.4% of the participants strongly agreed to recommend the use of the tool to other students. AI-based interactive e-learning programmes allowing for complex conversational patient encounters present a possibility to improve diagnostic and interactive skills of undergraduate students.
????LLM/???AI + ??/???/?????????	????	42221810	10.5334/pme.2379	2026	2026	Teaching Personalized Doctor-Patient Communication with AI: PerTRAIN - a Prototype for Interpersonally Responsive Virtual Patients in Medical Education.	Perspectives on medical education	Junga A; Hätscher O; Dabel J; Mado G; Ajani A; Pielage L; Kockwelp P; Breil SM	Q1_precise_llm_virtual_standardized_patient;Q2_llm_education_patient_simulation;Q4_virtual_patient_generative_ai	Personalized medicine requires physicians to adapt clinical communication and decision-making to patients' individual motives, emotions, and interpersonal behaviors. However, training these skills remains challenging, as established simulation-based formats-particularly actor-based simulations-are resource-intensive and difficult to scale. Consequently, there is a need for scalable and flexible training approaches that allow repeated practice across diverse patient personalities and clinical contexts. The PerTRAIN (Personalization Training in Medicine) project addresses this need by leveraging large language models (LLMs) to simulate virtual patients with dynamically adapting personality expression at scale. Grounded in Contemporary Integrative Interpersonal Theory (CIIT), patient behavior is modelled along the dimensions of agency and communion and updated in response to the medical trainee's behavior, enabling systematic variation and dynamic adaptation of interpersonal behavior within medical scenarios. This allows trainees to learn how a patients personality shapes communication, and to practice adaptive, patient-centered communication strategies and appropriate clinical decision-making. For the personalization trainings we developed clinical cases in which personality expression substantially influences behavior in doctor-patient interactions, that represent common encounters in primary care, and that align with national guidelines for patient-centered care. An initial chat-based implementation enables structured interactions, dynamic personality adaptation, and iterative refinement. The system is designed as a complementary tool to existing simulation formats, offering a scalable, low-threshold environment for repeated practice and reflection. A first application in curricular teaching is scheduled for 2026. Future extensions of the framework are discussed, such as large-scale empirical validation, modelling long-term interpersonal trajectories, and the extension of interactions to multimodal formats.
????LLM/???AI + ??/???/?????????	????/????	42278743	10.3390/healthcare14111490	2026	2026 May 27	Patient-Facing Radiology Communication with LLMs: Calibration Deficit and the Metadata Paradox.	Healthcare (Basel, Switzerland)	Shin C; Park JH; Kim S; Lee YH; Lee HS	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Background/Objectives: Patients increasingly access radiology reports via online portals and frequently seek clarification. While Large Language Models (LLMs) may facilitate this communication, their clinical safety and reliability in this context remain largely uncharacterized. This study aimed to evaluate performance heterogeneity (the disparity between factual synthesis and interpretive reasoning), the Metadata Paradox (performance degradation triggered by demographic priors), and calibration characteristics in answering simulated patient questions derived from radiology reports. Methods: In this retrospective study, 2000 simulated inquiries were generated from 200 MIMIC-IV radiology reports based on an expert-refined 10-category taxonomy, categorized into factual tasks (e.g., terminology/anatomy) and interpretive tasks (e.g., diagnostic confidence/finding detail). Three LLMs (GPT-4o mini, Grok (v4-0709), Claude 3.5 Sonnet) generated 12,000 answers (with/without metadata). Quality was scored (1-3 scale) by Gemini 2.5 Flash, validated by three independent board-certified radiologists and finalized through four-specialist consensus adjudication (n = 1200). Performance and self-confidence calibration were assessed using Generalized Estimating Equations. Results: The LLM judge showed an overall agreement rate of 90.5% with the adjudicated ground truth. Grok and Claude 3.5 Sonnet significantly outperformed GPT-4o mini (p < 0.001); specifically, GPT-4o mini was associated with a 2.8-fold higher risk of failure compared to Grok (adjusted OR 2.83; 95% CI: 2.28-3.49; p < 0.001) and an absolute risk difference (ARD) of 8.4 percentage points. Accuracy reached its ceiling in factual tasks (Terminology: 98.1%) but was significantly lower in interpretive tasks (Diagnostic Confidence: 82.3%, p < 0.001). Metadata inclusion triggered the 'Metadata Paradox,' significantly increasing the risk of failure (OR 1.11; p = 0.044). A substantial calibration deficit (defined as the disconnect between self-confidence and accuracy) was observed; notably, the majority of safety-critical errors (Score 1: clinically significant misinformation; n = 131) were assigned high self-confidence (≥8/10; GPT-4o mini: 93.8%, Grok: 100%, Claude 3.5 Sonnet: 61.5%). Conclusions: Although LLMs accurately address factual queries, their consistent calibration deficit in safety-critical errors and susceptibility to stochastic stereotyping highlight the necessity of independent verification frameworks.
????LLM/???AI + ??/???/?????????	?????/OSCE	42204695	10.1186/s12903-026-08705-9	2026	2026 May 27	Comparative efficacy of six contemporary large language models in prosthodontic patient education: a multi-parameter blinded assessment.	BMC oral health	Işık AD; Yerliyurt K	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	"This study aimed to evaluate and benchmark the proficiency of six major large language models (LLMs)-specifically the versions publicly available as of March 2025 (ChatGPT-4o, Claude 3.7 Sonnet, Microsoft Copilot, DeepSeek-V2, Gemini 2.0, and Grok-3)-in addressing prosthodontic patient inquiries across various clinical dimensions, including scientific accuracy, comprehensiveness, clarity, and relevance. In this descriptive, cross-sectional comparative study, ten standardized patient questions encompassing key prosthodontic topics (fixed prostheses, removable prostheses, dental implants, and aesthetic restorations) were systematically posed to six current LLM platforms. Each model was assigned a prosthodontic specialist persona through standardized prompts. A total of 60 independent responses (representing unique combinations of the 10 questions and 6 models) were obtained. These were evaluated by two experienced prosthodontic specialists (one Professor with 15 + years, one Associate Professor with 8 + years of clinical and academic experience) using a validated 5-point Likert scale. The evaluation was strictly double-blinded; assessors were completely unaware of both the model identities and each other's ratings. Statistical analyses included Intraclass Correlation Coefficient (ICC) for inter-rater reliability, Cronbach's alpha for internal consistency, and Kruskal-Wallis H test for performance comparison, with significance set at p < 0.05. Claude 3.7 Sonnet achieved the highest overall mean score (3.79 ± 0.74), followed by Gemini 2.0 (3.75 ± 0.58) and Grok-3 (3.70 ± 0.54). ChatGPT-4o, DeepSeek-V2, and Microsoft Copilot demonstrated varying performance levels (3.40 ± 0.64, 3.68 ± 0.46, and 3.29 ± 0.53, respectively). While no statistically significant differences were observed among models for scientific accuracy (p = 0.320), clarity (p = 0.184), or relevance (p = 0.608), comprehensiveness showed significant variation (p = 0.036). Gemini 2.0 provided significantly more comprehensive responses (3.90 ± 0.66) compared to Microsoft Copilot (2.95 ± 0.55). Inter-rater reliability was good (ICC = 0.709, 95% Confidence Interval [CI]: 0.550-0.846, p < 0.001), as was internal consistency (Cronbach's α = 0.709). Critically, none of the evaluated models achieved ratings in the ""very good"" category (≥ 4.5) across all parameters. Contemporary LLMs demonstrate moderate-to-good proficiency in addressing prosthodontic patient education queries, with Claude 3.7 Sonnet and Gemini 2.0 currently offering the most balanced performance profiles. While scientific accuracy is comparable across platforms, significant variations exist in information comprehensiveness. Hallucinations remain an inherent risk across all models, and the absence of ""very good"" ratings indicates substantial limitations that necessitate professional oversight. Future assessments should include qualitative error analysis and layman evaluations to better capture patient perspectives."
????LLM/???AI + ??/???/?????????	?????/OSCE	42192521	10.1186/s12909-026-09518-8	2026	2026 May 26	An exploratory study of the use of artificial intelligence-based virtual patients to enhance dentist-patient communication training.	BMC medical education	Xie Y; Ou Z; Huang Y; Huang H; Ran X; Dai H; Huang B; Shu L	Q1_precise_llm_virtual_standardized_patient;Q2_llm_education_patient_simulation;Q4_virtual_patient_generative_ai	Effective doctor-patient communication is critical in dentistry for diagnostic accuracy and treatment efficacy. Traditional instructional formats afford limited practice opportunities, impeding the transfer of theoretical knowledge to clinical settings. Standardised patients (SPs) provide authentic interaction but are costly and logistically demanding, restricting training scalability. Large language models (LLMs), capable of generating contextually adaptive dialogues, offer innovative opportunities for dental communication training. An AI agent was developed using the DeepSeek large language model. Thirty-eight fourth-year dental students were randomly assigned to an experimental group (theoretical instruction plus AI-based virtual patient consultations) or a control group (theoretical instruction plus peer-to-peer role-play practice). Baseline and post-intervention doctor-patient communication skills were assessed using standardised patients consultations scored with the Set Elicit Give Understand End (SEGUE) scale. Post-intervention questionnaires assessed AI agent usability and participant satisfaction. No statistically significant between-group difference was observed at baseline (p > 0.05). Following the intervention, the experimental group's SP consultation scores were significantly higher than those of the control group (p < 0.001), with particularly pronounced gains in the preparation stage and consultation closure. Questionnaire data indicated high levels of participant satisfaction and acceptance. Integration of theoretical instruction with AI agent-based training demonstrates preliminary efficacy in improving dental students' doctor-patient communication skills and shows promise as a cost-efficient supplement to conventional training. Current limitations in dialogue flexibility and emotional intelligence should be addressed in future iterations.
???/???????????	????/????	42174548	10.1186/s12909-026-09511-1	2026	2026 May 22	AI-powered simulated patients with automated feedback for enhancing headache history-taking skills: a convergent mixed-methods study.	BMC medical education	Sindhvananda K; Ruengwattanachot K; Leksuwankun S; Pongpitakmetha T; Hiransuthikul A; Surawattanawong T; Anukoolwittaya P; Panjasriprakarn P	Q1_precise_llm_virtual_standardized_patient;Q2_llm_education_patient_simulation;Q4_virtual_patient_generative_ai	Medical students often struggle with headache disorders, which are common but diagnostically challenging due to limited clinical exposure and feedback during early clinical training. This study evaluated the feasibility and effectiveness of an AI-powered simulated patient (AISP) chatbot in enhancing history-taking and clinical reasoning for three primary headache disorders-migraine, tension-type, and cluster headache-among medical students at a tertiary university hospital in Thailand. We developed a simulated patient platform that provided automated, rubric-based feedback across three headache cases. Third-year medical students who had completed pre-clerkship requirements participated in a mixed-methods experimental study with a pre-post design. The study consisted of a 1-week self-study phase followed by a pre-test Objective Structured Clinical Examination (OSCE), a 1-week washout period, and a 1-week AISP practice phase followed by a post-test OSCE. Quantitative outcomes included changes in OSCE scores, Clinical Reasoning Indicator-History Taking (CRI-HT) scores, usability/satisfaction measured using the Chatbot Usability Questionnaire (CUQ). Focus group discussions (FGDs) explored participants' learning experiences, perceived system limitations, and recommendations for future implementation. Qualitative data were analyzed thematically. Twenty-five medical students participated. OSCE scores increased by 22.5 points (p < 0.001, Cohen's d = 1.93), and CRI-HT scores increased by 8.8 points (p < 0.001, Cohen's d = 1.81). CUQ findings indicated high usability. Students commonly cited the platform's intuitive interface and informative feedback, although some noted the chatbot's responses were overly robotic. FGDs further highlighted three themes: (1) convenient, structured practice support learning; (2) dialogue felt realistic but was limited for practicing communication skills; and (3) students recommended greater case variety and integration into the curriculum. An AISP platform with automated, rubric-based feedback was feasible and associated with improvements in headache history-taking and clinical reasoning. It serves as a valuable complement to traditional teaching by enabling structured, repeated practice with timely feedback.
????LLM/???AI + ??/???/?????????	?????/OSCE	42175339	10.3233/SHTI260671	2026	2026 May 21	Overcoming the Limitations of Standardized Patients Through Dynamic CPX Scenario Automation and Multimodal Clinical Representation.	Studies in health technology and informatics	Seo S; Kim A; Oh Y	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	This study addresses the limitations of Standardized Patients (SPs) in Traditional Korean Medicine (TKM) by developing an AI-driven CPX platform. By integrating Large Language Models (LLMs) with Retrieval-Augmented Generation (RAG) and multimodal clinical cues, the system automates scenario generation and provides quantitative feedback. Expert validation (N=10) demonstrated high validity with an overall mean score of 4.61/5.0 (SD=0.52) and a Scale-level Content Validity Index (S-CVI/Ave) of 0.98, confirming its effectiveness for clinical training.
????LLM/???AI + ??/???/?????????	????/????	42175329	10.3233/SHTI260661	2026	2026 May 21	SurgiBot: Large Language Model-Based Patient Simulator for Surgical Informed Consent Training.	Studies in health technology and informatics	Cvijic L; Denecke K	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Surgical informed consent discussions are essential for ensuring patients' understanding, shared decision-making, and ethical surgical practice. However, opportunities for surgical residents to practice and receive feedback about their performance in these conversations are limited. We developed SurgiBot, a large language model-based training platform that enables surgical residents to practice informed consent discussions with simulated patients. Design requirements were identified through participatory design with key stakeholders (e.g., surgeons, patients). SurgiBot provides a realistic and low-risk training environment, which is adaptable across surgical specialties.
????LLM/???AI + ??/???/?????????	????/????	42175018	10.3233/SHTI260344	2026	2026 May 21	Assessing Clinical Decision-Making Aided by a RAG-Based Dialog in Pre-Examination on Non-Odontogenic Tooth Pain.	Studies in health technology and informatics	Yamamoto T; Fukuyama K; Mori Y; Espinoza Chamorro R; Kuroda T	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Differentiating Non-Odontogenic Tooth Pain, a potential symptom of life-threatening conditions like Ischemic Heart Disease, is a critical challenge for dentists, as existing AI tools fail to support their decision-making. To address this, we developed a chatbot using a Retrieval-Augmented Generation (RAG) enhanced Large Language Model (LLM). This study protocol outlines a trial to evaluate the impact of the AI's outputs on dentists' diagnostic accuracy. The study employs a three-arm, within-subjects crossover trial where 128 dentists evaluate simulated patient scenarios under three conditions: RAG, standalone LLM, and conventional interview via a novel Stepwise Information Disclosure Protocol, with diagnostic accuracy as the primary outcome. The findings will present a new framework for evaluating human-AI clinical interaction, with the potential to enhance patient safety by reducing missed diagnoses and unnecessary dental interventions.
????LLM/???AI + ??/???/?????????	????	42326139	10.7759/cureus.109161	2026	2026 May	Robustness of a Large Language Model (LLM)-Based Virtual Patient for Japanese History-Taking Training Under Direct and Indirect Instructional Contamination.	Cureus	Harada Y	Q1_precise_llm_virtual_standardized_patient;Q2_llm_education_patient_simulation;Q4_virtual_patient_generative_ai	Large language model (LLM)-based virtual patients are increasingly used to scale history-taking practice in undergraduate and postgraduate medical education. For clinical simulation, reliability requires not only avoidance of harmful content but also role-consistent case fidelity, dialogue continuity, and adherence to constraints on what the simulated patient should disclose. We evaluated these dimensions as an operational robustness benchmark, not as evidence of deployment readiness. We systematically stress-tested a Japanese LLM-based virtual patient under six robustness conditions: clean inputs, noise, direct contamination, direct contamination with defense, indirect contamination, and indirect contamination with defense. Case fidelity was measured using the slot-level F1 score, a 0-to-1 measure combining precision and recall for expected case-history elements, excluding the opening greeting turn. Information coverage was measured using turn-target hit rate, defined as the fraction of prespecified target slots elicited at the intended interview turns. Proxy constraint-adherence outcomes included refusal, clarification, forbidden information leakage, contradiction, and role drift. Under clean inputs, case fidelity was high (0.947; 95% confidence interval (CI), 0.940-0.955), and turn-target hit rate was 0.946 (95% CI, 0.932-0.959). Noise preserved overall case fidelity (0.941; 95% CI, 0.934-0.949) but reduced turn-target hit rate (0.823; 95% CI, 0.806-0.841). Direct contamination caused severe degradation in fidelity (0.098; 95% CI, 0.052-0.144) and turn-target hit rate (0.077; 95% CI, 0.034-0.119). With preprocessing defense, performance returned to near-clean levels (fidelity, 0.945; 95% CI, 0.938-0.952; hit rate, 0.942; 95% CI, 0.930-0.955). Indirect contamination showed near-clean fidelity (0.946; 95% CI, 0.938-0.954) and hit rate (0.952; 95% CI, 0.940-0.965), with minimal additional benefit from defense. Refusal and clarification rates were 0 across all conditions, and role drift events were not observed. However, forbidden information leakage occurred at approximately 0.60 events per episode under the clean condition (0.600; 95% CI, 0.502-0.698), indicating incomplete constraint adherence despite high case fidelity. In this controlled sequential virtual patient benchmark, direct prompt contamination was the dominant failure mode in terms of case fidelity and information coverage, while noise primarily reduced target-slot acquisition. A simple preprocessing defense mitigated direct-contamination effects on fidelity and information coverage, but persistent forbidden-information leakage indicates that additional safeguards and external validation are required before claims of safe clinical or educational deployment can be made.
????LLM/???AI + ??/???/?????????	?????/OSCE	42155101	10.2196/91021	2026	2026 May 19	Feasibility of Large Language Model-Based Standardized Virtual Patients to Support Clinical Decision-Making Training in Operative Dentistry: Mixed Methods Study.	JMIR formative research	BaHammam F	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Clinical decision-making training in operative dentistry commonly relies on real or standardized patients to develop undergraduate students' ability to deliver safe, effective, and patient-centered care. However, training with real or standardized patients can be limited in scalability, cost-effectiveness, and accessibility. Large language models, with their human-like language capabilities, may have the potential to simulate patients in clinical encounters and help overcome some limitations associated with traditional training approaches. This study aimed to evaluate the feasibility of using large language model-based standardized virtual patients to support undergraduate dental students' clinical decision-making training in operative dentistry. This mixed methods cross-sectional feasibility study was conducted during a simulation-based clinical decision-making training session in the Operative Dentistry and Cariology course at the College of Dentistry, King Saud bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia. Eligible participants were second-year undergraduate dental students enrolled in the course. A convenience sampling approach was used, with all eligible students (N=50) invited to participate. A total of 41 students completed the study, 23 (56%) of whom were male. The students were divided into 8 groups. Each group interacted with 2 standardized virtual patients powered by ChatGPT-4o (OpenAI) through the Chatbase platform to complete comprehensive history-taking and then reviewed the standardized virtual patients' intraoral photographs and bitewing radiographs. For each standardized virtual patient, students as a group recorded diagnoses, performed a risk assessment, and formulated a treatment plan. Students then completed the Student Satisfaction and Self-Confidence in Learning questionnaire. The quality of the standardized virtual patient responses and overall dialogue realism were evaluated using the Dialogue Authenticity Scale. The dialogues were also thematically analyzed to identify authenticity-undermining response features and explore their context and underlying causes. Students perceived the simulation-based training session positively, with all questionnaire items showing high median scores (4.00-5.00 on a 5-point scale), and both item-level IQRs and 95% CIs spanning no more than 1.0 scale point. In addition, standardized virtual patient responses were largely authentic, with an overall median authenticity rating of 4.50 (IQR 4.00-5.00; 95% CI 4.00-5.00) on a 6-point scale across all interactions. However, several authenticity-undermining response features were identified, including responses that were inconsistent with typical human behavior, contained information beyond a patient's likely knowledge, or were factually incorrect. This proof-of-concept study supports the feasibility of implementing large language model-based standardized virtual patients in undergraduate simulation-based clinical decision-making training in operative dentistry. In a dental context where this application has been only minimally evaluated, this study provides early evidence of positive student perceptions, acceptability, and largely authentic dialogue, while also identifying important performance limitations. Further research is warranted to optimize performance and to evaluate the educational effectiveness of this approach in improving undergraduate students' clinical skills and knowledge.
????LLM/???AI + ??/???/?????????	????	42152028	10.1186/s12909-026-09435-w	2026	2026 May 18	Evaluating expert opinions on using a virtual patient app based on artificial intelligence for teaching brief smoking cessation advice to medical students: a cross-sectional study.	BMC medical education	Budin EC; Stoica-Buracinschi F; Ianoși ES; Mărușteri MȘ; Iantovics LB; Nădășan V	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	Smoking is one of the main preventable causes of premature disease and death. Anti-smoking counseling continues to be a challenge to cover the educational gap in this topic. Artificial intelligence and virtual-patient technologies are a promising next step in this evolving context, allowing for realistic, adaptive, and standardized simulations of clinical counseling scenarios. The objective of this study was to evaluate the perceptions and acceptance of a Generative Artificial Intelligence-based Virtual Patient Application for training medical students in brief smoking-cessation counseling among respiratory medicine professionals in Romania. A cross-sectional survey, primarily descriptive, with additional analytical components to explore associations between key variables was conducted between May and October 2025 among respiratory medicine professionals in Romania. A structured, validated electronic questionnaire assessed perceived usefulness, feasibility, preferred counseling models, interface design, and expected educational and public health benefits of the GenAI-ViP application. Descriptive statistics summarized participant responses, while inferential analyses included Mann-Whitney U, Kruskal-Wallis, Chi-square tests, Spearman correlations, and binary logistic regression to identify predictors of perceived usefulness. Statistical significance was defined as p < 0.05. A total of 147 clinicians were included, most of whom were pulmonologists (89.1%), and digital engagement was high (95.3% reporting regular use of medical applications). Most respondents rated the application as useful (81.6% Likert scores 4-5) and reported high receptiveness (91.1% Likert scores 4-5). The preferred interface included multimodal interaction with voice and video (65.3%). The 5 A counseling model was identified as the most relevant framework (80.3%), followed by motivational interviewing (37.4%). Significant predictors of perceived usefulness included higher perceived student receptiveness (OR 2.535, 95% CI 1.416-4.539, p = 0.002), while clinicians without prior smoking cessation program involvement reported greater perceived usefulness (OR 0.266, 95% CI 0.087-0.815, p = 0.020). The Generative Artificial Intelligence-based Virtual Patient Application for smoking cessation training was highly accepted and perceived to be useful by respiratory medicine professionals and could address existing gaps in tobacco counseling education. Integration of such tools into undergraduate and postgraduate medical curricula could enhance smoking cessation competencies and support broader tobacco control strategies.
????LLM/???AI + ??/???/?????????	????	42148566	10.1177/19322968261447304	2026	2026 May 18	Evaluating the Accuracy, Quality, and Reproducibility of AI Chatbot-Generated Diabetes Self-Management Education and Support Plans Aligned With ADCES7.	Journal of diabetes science and technology	Yu TH; Hsu HC; Lee YJ; Tang WH	Q1_precise_llm_virtual_standardized_patient;Q4_virtual_patient_generative_ai	The rapid development of artificial intelligence, particularly large language models (LLMs) such as ChatGPT, Gemini, and Claude, offers new opportunities to scale and personalize diabetes self-management education and support (DSMES). This study evaluated the quality, accuracy, and reproducibility of DSMES plans generated by ChatGPT-5 using the ADCES7 Self-Care Behaviors™ framework. Eleven virtual patient profiles representing five key DSMES time points (diagnosis, annual review, complicating factors, transitions, and ongoing care) were analyzed using structured prompts with retrieval-augmented generation. Generated plans were assessed using a DSMES Process Evaluation Checklist integrating IMPACTS, QAMAI, PDQI-9, and Donabedian's frameworks across ten domains. Content validity was confirmed by five experts (S-CVI: 0.982 for appropriateness; 0.964 for clarity). Ten certified diabetes educators (mean age 47.9 years; mean experience 14 years) independently scored the plans. Internal consistency, inter-rater reliability, and reproducibility were examined. Mean domain scores ranged from 29.0 ± 2.0 (patient engagement; 58.0%) to 42.7 ± 2.0 (cultural and linguistic appropriateness; 85.5%). ChatGPT-5 demonstrated strengths in clarity (85.1%) and goal-directedness (81.1%), generating evidence-based plans within three to five minutes, but showed limitations in patient engagement. Moderate performance was observed for accuracy (74.9%), relevance (78.7%), individualization (79.6%), and feasibility (75.3%). Reliability was high (Cronbach's α = 0.889; intra-class correlation coefficient = 0.837). Reproducibility was moderate, with intra-assay coefficients of 0.04 to 0.15 and inter-assay coefficients of 0.10 to 0.27. The DSMES process evaluation checklist is valid and reliable. ChatGPT-5 shows promise as a scalable DSMES decision-support tool, though improvements in personalization, patient engagement, and reproducibility are needed before broader implementation.
????LLM/???AI + ??/???/?????????	????	42221128	10.3389/fmed.2026.1834636	2026	2026	Effectiveness of AI-enhanced virtual patients for psychiatric interview training in health professions education: a meta-analysis.	Frontiers in medicine	Kilincel S; Bulut F; Goksel P; Usta MB; Mutluer T; Kilincel O	Q1_precise_llm_virtual_standardized_patient;Q2_llm_education_patient_simulation;Q4_virtual_patient_generative_ai	Artificial intelligence (AI)-enhanced virtual patient simulations are increasingly used in health professions education to improve clinical communication and diagnostic reasoning. However, the effectiveness of these technologies for psychiatric interview training has not been systematically quantified. This study aimed to systematically review and meta-analyze the existing literature evaluating the impact of AI-enhanced virtual patients on psychiatric interview performance, knowledge acquisition, and learner confidence in health professions education. A systematic review and meta-analysis was conducted following the PRISMA 2020 guidelines. Electronic database searches were performed in PubMed/MEDLINE, Scopus, Web of Science, and Google Scholar to identify relevant studies published between January 2000 and March 2026. Studies were included if they evaluated AI-enhanced virtual patient simulations for psychiatric interview training among medical students, psychiatry residents, clinicians, or other health professions trainees. Data extraction included study characteristics, participant populations, intervention types, and educational outcomes. Risk of bias was assessed using the Cochrane Risk of Bias Tool. Quantitative synthesis was performed using random-effects meta-analysis models, and effect sizes were calculated as standardized mean differences (SMD) with 95% confidence intervals (CI) using R statistical software. A total of 560 records were identified through database searches and additional sources. After removal of duplicates and screening procedures, 10 studies met the inclusion criteria and were included in the final analysis. The studies involved approximately 450 participants, including medical students, psychiatry residents, clinicians, nursing students, and psychology trainees. AI-enhanced virtual patient interventions included conversational AI systems, virtual human simulations, large language model-based simulated patients, and AI-virtual reality training environments. The pooled analyses indicated improvements in psychiatric interview performance, knowledge acquisition, and learner confidence following AI-supported virtual patient training. Subgroup analysis demonstrated positive educational outcomes across both student and clinician populations. Risk-of-bias assessment revealed variable methodological quality across studies, with several pilot and non-randomized designs. AI-enhanced virtual patient simulations appear to be effective educational tools for improving psychiatric interview training in health professions education. These technologies provide scalable and standardized simulation environments that support communication skill development, diagnostic reasoning, and learner confidence. Although the findings suggest promising educational benefits, further large-scale randomized controlled trials and standardized outcome assessments are needed to confirm the long-term educational impact of AI-supported virtual patient training in psychiatry.
