pmid	doi	year	pubdate	title	journal	authors	abstract
42174548	10.1186/s12909-026-09511-1	2026	2026 May 22	AI-powered simulated patients with automated feedback for enhancing headache history-taking skills: a convergent mixed-methods study.	BMC medical education	Sindhvananda K; Ruengwattanachot K; Leksuwankun S; Pongpitakmetha T; Hiransuthikul A; Surawattanawong T; Anukoolwittaya P; Panjasriprakarn P	Medical students often struggle with headache disorders, which are common but diagnostically challenging due to limited clinical exposure and feedback during early clinical training. This study evaluated the feasibility and effectiveness of an AI-powered simulated patient (AISP) chatbot in enhancing history-taking and clinical reasoning for three primary headache disorders-migraine, tension-type, and cluster headache-among medical students at a tertiary university hospital in Thailand. We developed a simulated patient platform that provided automated, rubric-based feedback across three headache cases. Third-year medical students who had completed pre-clerkship requirements participated in a mixed-methods experimental study with a pre-post design. The study consisted of a 1-week self-study phase followed by a pre-test Objective Structured Clinical Examination (OSCE), a 1-week washout period, and a 1-week AISP practice phase followed by a post-test OSCE. Quantitative outcomes included changes in OSCE scores, Clinical Reasoning Indicator-History Taking (CRI-HT) scores, usability/satisfaction measured using the Chatbot Usability Questionnaire (CUQ). Focus group discussions (FGDs) explored participants' learning experiences, perceived system limitations, and recommendations for future implementation. Qualitative data were analyzed thematically. Twenty-five medical students participated. OSCE scores increased by 22.5 points (p < 0.001, Cohen's d = 1.93), and CRI-HT scores increased by 8.8 points (p < 0.001, Cohen's d = 1.81). CUQ findings indicated high usability. Students commonly cited the platform's intuitive interface and informative feedback, although some noted the chatbot's responses were overly robotic. FGDs further highlighted three themes: (1) convenient, structured practice support learning; (2) dialogue felt realistic but was limited for practicing communication skills; and (3) students recommended greater case variety and integration into the curriculum. An AISP platform with automated, rubric-based feedback was feasible and associated with improvements in headache history-taking and clinical reasoning. It serves as a valuable complement to traditional teaching by enabling structured, repeated practice with timely feedback.
42155101	10.2196/91021	2026	2026 May 19	Feasibility of Large Language Model-Based Standardized Virtual Patients to Support Clinical Decision-Making Training in Operative Dentistry: Mixed Methods Study.	JMIR formative research	BaHammam F	Clinical decision-making training in operative dentistry commonly relies on real or standardized patients to develop undergraduate students' ability to deliver safe, effective, and patient-centered care. However, training with real or standardized patients can be limited in scalability, cost-effectiveness, and accessibility. Large language models, with their human-like language capabilities, may have the potential to simulate patients in clinical encounters and help overcome some limitations associated with traditional training approaches. This study aimed to evaluate the feasibility of using large language model-based standardized virtual patients to support undergraduate dental students' clinical decision-making training in operative dentistry. This mixed methods cross-sectional feasibility study was conducted during a simulation-based clinical decision-making training session in the Operative Dentistry and Cariology course at the College of Dentistry, King Saud bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia. Eligible participants were second-year undergraduate dental students enrolled in the course. A convenience sampling approach was used, with all eligible students (N=50) invited to participate. A total of 41 students completed the study, 23 (56%) of whom were male. The students were divided into 8 groups. Each group interacted with 2 standardized virtual patients powered by ChatGPT-4o (OpenAI) through the Chatbase platform to complete comprehensive history-taking and then reviewed the standardized virtual patients' intraoral photographs and bitewing radiographs. For each standardized virtual patient, students as a group recorded diagnoses, performed a risk assessment, and formulated a treatment plan. Students then completed the Student Satisfaction and Self-Confidence in Learning questionnaire. The quality of the standardized virtual patient responses and overall dialogue realism were evaluated using the Dialogue Authenticity Scale. The dialogues were also thematically analyzed to identify authenticity-undermining response features and explore their context and underlying causes. Students perceived the simulation-based training session positively, with all questionnaire items showing high median scores (4.00-5.00 on a 5-point scale), and both item-level IQRs and 95% CIs spanning no more than 1.0 scale point. In addition, standardized virtual patient responses were largely authentic, with an overall median authenticity rating of 4.50 (IQR 4.00-5.00; 95% CI 4.00-5.00) on a 6-point scale across all interactions. However, several authenticity-undermining response features were identified, including responses that were inconsistent with typical human behavior, contained information beyond a patient's likely knowledge, or were factually incorrect. This proof-of-concept study supports the feasibility of implementing large language model-based standardized virtual patients in undergraduate simulation-based clinical decision-making training in operative dentistry. In a dental context where this application has been only minimally evaluated, this study provides early evidence of positive student perceptions, acceptability, and largely authentic dialogue, while also identifying important performance limitations. Further research is warranted to optimize performance and to evaluate the educational effectiveness of this approach in improving undergraduate students' clinical skills and knowledge.
42098926	10.2196/82756	2026	2026 May 07	GenAI-Supported Virtual Patients in Health Care Education: Systematic Review.	Journal of medical Internet research	Jiang J; Ye MZ; Kwok TT; Wong JYH	Generative artificial intelligence (GenAI) is enhancing virtual patient simulations in health care education by enabling dynamic, adaptive interactions, reshaping how clinical skills are taught. A synthesis of the current evidence is needed to guide implementation and future research, given the pace of technological advancement. This systematic review aims to synthesize empirical research on the design, implementation, and educational impact of GenAI-supported virtual patients in health care education. A systematic search was conducted across 5 databases (CINAHL, Medline, Embase, Scopus, and Web of Science) from their inception to March 19, 2026. Reference lists of included studies and relevant systematic reviews were also screened. Peer-reviewed studies in English that evaluated GenAI-supported virtual patients using quantitative or mixed methods were included. Two reviewers independently screened studies and extracted data. Study quality and risk of bias were assessed critically using JBI (Joanna Briggs Institute) checklists, with disagreements resolved by consensus. A total of 15 studies met the inclusion criteria (total participants N=645), spanning health care disciplines, including nursing, medicine, pharmacy, radiography, and medical first-responder training. The virtual patients varied in design; input modalities included text (9 studies), voice (5 studies), or hybrid (1 study); output was text (9 studies), speech (5 studies), or both (1 study); 6 studies used 3D-embodied avatars, while 9 used nonembodied interfaces. A total of 13 studies used OpenAI GPT models (eg, ChatGPT), 1 used a fine-tuned model from a different provider, and 1 evaluated multiple model families (Claude, GPT, and open-source). Further, 6 studies used controlled experimental designs, including 3 randomized controlled trials (RCTs); the remainder were cross-sectional or prepost evaluations. Primary outcomes included user perceptions (14 studies), communication skills (4 studies), clinical reasoning (3 studies), and performance (7 studies). In controlled comparisons, GenAI-supported virtual patients consistently improved outcomes relative to control conditions: for example, enhanced clinical decision-making (RCT, n=21), ophthalmology history-taking skills (RCT, n=26), and medical history-taking performance (crossover RCT, n=20). The evidence base is characterized by brief intervention durations, a predominant reliance on single-session interactions, and a general lack of underpinning educational theory. No meta-analysis was performed due to the limited number of studies and significant heterogeneity in designs, interventions, and outcome measures. The evidence supports the feasibility and acceptability of GenAI-supported virtual patients, with positive learner perceptions and promising outcomes for skills development. However, critical limitations remain in emotional-behavioral complexity, simulation adaptability, and research design rigor (eg, limited use of control groups and validated instruments). The review offers educators, instructional designers, and policymakers actionable insights for integrating dynamic, artificial intelligence-driven simulations while identifying crucial gaps-such as the need for theoretical grounding, longitudinal studies, and standardized design protocols-that must be addressed for safe and effective implementation.
42083027	10.1186/s12909-026-09219-2	2026	2026 May 04	Utilizing generative artificial intelligence to create simulated patient for history taking in gynecology.	BMC medical education	Gao L; Zhang L; Zhang Y; Wu M; Xu J; Lu D	This study aimed to evaluate the effectiveness of a generative artificial intelligence based simulated patient model in improving gynecological history-taking skills among medical students, compared with traditional clinical teaching methods. A prospective randomized controlled trial was conducted involving 40 fourth-year medical students during their gynecology clerkship. Students were randomly assigned to either an AI group (n = 20) or a control group (n = 20). Both groups received identical theoretical instruction on history taking. The control group practiced interviews with instructor-led standardized patients, while the AI group conducted simulated interviews with a large language model configured to behave as a real patient using predefined gynecological cases. Outcomes were assessed using a gynecological history-taking content checklist, Objective Structured Clinical Examination (OSCE) Score, and the Mini-Clinical Evaluation Exercise (Mini-CEX). Statistical analyses were performed using t-tests, chi-square tests, or Mann-Whitney U tests. Baseline characteristics did not differ significantly between the two groups. Students in the AI group achieved a significantly higher history-taking checklist completion rate than those in the control group and missed fewer key history items. The AI group achieved significantly higher total OSCE scores compared to the control group. Mini-CEX results showed that the AI group performed significantly better in medical interviewing skills and organization/efficiency. No significant differences were observed in professionalism, clinical judgment, counseling skills, or overall clinical competence. The use of a generative AI-simulated patient significantly enhanced the information completeness and organizational quality of gynecological history taking among medical students. AI-based simulation appears to be an effective and scalable adjunct to traditional standardized patients, offering educational benefits for reinforcing systematic clinical inquiry. However, these findings are preliminary as a single-center study with a limited sample size. Further large-scale, multi-center research is required to confirm the generalizability of these results across diverse educational settings.
41433050	10.2196/78857	2025	2025 Dec 23	Using AI-Based Virtual Simulated Patients for Training in Psychopathological Interviewing: Cross-Sectional Observational Study.	JMIR medical education	García-Torres D; Fernández C; Mira JJ; Morales A; Vicente MA	Virtual simulated patients (VSPs) powered by generative artificial intelligence (GAI) offer a promising tool for training clinical interviewing skills; yet, little is known about how different system- and user-level variables shape students' perceptions of these interactions. We aim to study psychology students' perceptions of GAI-driven VSPs and examine how demographic factors, system parameters, and interaction characteristics influence such perceptions. We conducted a total of 1832 recorded interactions involving 156 psychology students with 13 GAI-generated VSPs configured with varying temperature settings (0.1, 0.5, 0.9). For each student, we collected age and sex; for each interview, we recorded interview length (total number of question-answer turns), number of connectivity failures, the specific VSP consulted, and the model temperature. After every interview, students provided a 1-10 global rating and open-ended comments regarding strengths and areas for improvement. At the end of the training sequence, they also reported perceived improvement in diagnostic ability. Statistical analyses assessed the influence of different variables on global ratings: demographics, interaction-level data, and GAI temperature setting. Sentiment analysis was conducted to evaluate the VSPs' clinical realism. Statistical analysis showed that female students rated the tool significantly higher (mean rating 9.25/10) than male students (mean rating 8.94/10; Kruskal-Wallis test, H=8.7; P=.003). On the other side, no significant correlation was found between global rating and age (r=0.02, 95% CI -0.03 to 0.06; P=.42), interview length (r=0.04, 95% CI -0.2 to 0.10; P=.18), or frequency of participation (Kruskal-Wallis test, H=4.62; P=.20). A moderate negative correlation emerged between connectivity failures and ratings (r=-0.26, 95% CI -0.41 to -0.10; P=.002). Temperature settings significantly influenced ratings (Kruskal-Wallis test, H=6.93; P=.03; η²=0.02), with higher scores at temperature 0.9 compared with 0.1 (Dunn's test, P=.04). Concerning learning outcomes, self-perceived improvement in diagnostic ability was reported by 94% (94/100) of students; however, final practical examination scores (mean 6.67, SD 1.42) did not differ significantly from those of the previous cohort without VSP training (mean 6.42, SD 1.56). Sentiment analysis indicated predominantly negative sentiment in GAI responses (median negativity 0.8903, IQR 0.306-0.961), consistent with clinical realism. GAI-driven VSPs were well-received by psychology students, with student gender and system-level variables (particularly temperature settings and connection stability) shaping user evaluations. Although participants perceived the training as beneficial for their diagnostic skills, objective examination performance did not significantly differ from the previous cohort. However, lack of randomization limits the generalization of the results obtained, and further experiments are required.
41420084	10.1038/s43856-025-01283-x	2025	2025 Dec 19	Simulated patient systems powered by large language model-based AI agents offer potential for transforming medical education.	Communications medicine	Yu H; Zhou J; Li L; Chen S; Gallifant J; Shi A; Sun J; Li X	Simulated patient systems are vital in medical education and research, providing safe, integrative training environments and supporting clinical decision-making. Progressive Artificial Intelligence (AI) technologies, such as Large Language Models (LLM), could advance simulated patient systems by replicating medical conditions and patient-doctor interactions with high fidelity and low cost. However, effectiveness and trustworthiness remain challenging. We developed AIPatient, a simulated patient system powered by LLM-based AI agents. The system incorporates the Retrieval Augmented Generation (RAG) framework, powered by six task-specific LLM-based AI agents for complex reasoning. For simulation reality, the system is also powered by the AIPatient KG (Knowledge Graph), built with de-identified real patient data from the Medical Information Mart for Intensive Care (MIMIC)-III database. Here we show that the system's accuracy in Electronic Health Record (EHR)-based medical Question Answering (QA), readability, robustness, and stability. Specifically, the system achieves a QA accuracy of 94.15% when all six agents, surpassing benchmarks with partial or no agent integration. Its knowledgebase demonstrates high validity (F1 score=0.89). Readability scores show median Flesch Reading Ease at 68.77 and median Flesch Kincaid Grade at 6.4, indicating accessibility to all medical professionals. Robustness and stability are confirmed with non-significant variance (ANOVA F-value = 0.6126, p > 0.1; F-value = 0.782, p > 0.1). A user study with medical students shows that AIPatient delivers high fidelity, usability, and educational value, matching or exceeding human-simulated patients in history-taking. Large language model-based simulated patient systems provide accurate, readable, and reliable medical encounters and demonstrates potential to transform medical education.
41385781	10.2196/81271	2025	2025 Dec 12	Large Language Model-Based Patient Simulation to Foster Communication Skills in Health Care Professionals: User-Centered Development and Usability Study.	JMIR medical education	Elhilali A; Ngo AS; Reichenpfader D; Denecke K	"Case-based learning using standardized patients is a key method for teaching communication skills in medicine. Besides logistical and financial hurdles, standardized patients portrayed by actors cannot cover the complete diversity of sociodemographic factors of patients. Large language models (LLMs) show promise for creating scalable patient simulations and could probably cover a broader diversity of factors. They could also be integrated into the continuous training of future health care professionals' communication and interaction skills. This study aimed to introduce the system architecture of a digital tool that leverages LLMs to simulate patient conversations for medical education, focusing specifically on medical history taking. Through an explorative analysis, we aimed to assess the tool's usability and examine differences between LLMs in simulating patient encounters. We followed a user-centered design process, gathering initial requirements from 2 medical students. We then developed a fully functional web prototype using a Python Flask backend and a PostgreSQL database, integrating 5 LLMs from OpenAI, Anthropic, and xAI. The system includes an artificial intelligence-assisted case vignette generator and a dynamic patient simulator. For the explorative analysis of the prototype, we conducted a task-based usability test with 5 medical students, measuring their experience using the System Usability Scale (SUS) questionnaire and qualitative questions. We then conducted an explorative analysis in which 4 practicing physicians evaluated the simulation quality of 3 models (Grok 3, GPT-4, and Claude 3 Opus) across 7 criteria on a 5-point Likert scale. Usability testing yielded a mean SUS score of 91.5 (SD 8.40), indicating high perceived usability in a small formative sample. Students praised the system's simplicity and intuitive design but noted the absence of a formal conclusion and performance feedback, expressing a desire for a ""didactic loop"" to maximize learning. The models showed limitations in simulating uncertainties and memory lapses, responding to follow-up questions, and producing natural conversational flow. They perform well in simulating a coherent symptom profile, in using patient-like language, and in describing a realistic timeline and symptom progression. The differences among the models were not statistically significant. Ratings showed limited discriminative reliability (Kendall W=0-0.19, ie, very low) and a ceiling effect, with most scores clustered at 4-5, constraining interpretation; all group differences should therefore be viewed as exploratory. We successfully developed a highly usable patient simulation tool that serves as a foundation for further development. Our results show that while the tool could be effective for communication training, its full potential will only be realized by integrating an automated feedback mechanism to create a complete didactic loop, as requested by the test users. Future work should assess in more depth the differences among the models in simulating psychosocial patient characteristics."
41232097	10.2196/79091	2025	2025 Nov 13	Embracing the Future of Medical Education With Large Language Model-Based Virtual Patients: Scoping Review.	Journal of medical Internet research	Zeng J; Qi W; Shen S; Liu X; Li S; Wang B; Dong C; Zhu X	In recent years, large language models (LLMs) have experienced rapid development. LLM-based virtual patients have begun to gain attention, offering new opportunities for simulations in medical education. This study aims to systematically analyze the current applications, research trends, and challenges of LLM-based virtual patients in medical education and to explore potential future directions for development. This study adheres to the PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analyses extension for Scoping Reviews) guidelines. Five databases (Web of Science Core Collection, PubMed, IEEE Xplore, Embase, and Scopus) were searched from January 1, 2018, to June 24, 2025, to identify studies related to the application of LLM-based virtual patients in medical education. A comprehensive analysis of LLM-based virtual patients from research design to application and evaluation was conducted. A total of 28 studies were included in this scoping review. Analysis revealed that 92.9% (26/28) of the studies were published in the past 2 years, indicating that LLM-based virtual patient research is still in its early stages. The research primarily focuses on medical training and spans a wide range of medical disciplines. When using LLMs, advanced technologies such as social robots, virtual reality, and mixed reality are used to present LLM-based virtual patients. Combining these technologies with various supplementary tools enhances the realism of LLM-based virtual patients and improves user interaction. The evaluation of LLM-based virtual patients mainly emphasizes user experience. However, evaluation methods lack standardization, and only 13% (3/23) of studies used validated tools in assessing LLM-based virtual patients, while only 21.7% (5/23) of studies objectively measured learning outcomes facilitated by LLM-based virtual patients. All included studies expressed a positive attitude toward LLM-based virtual patients; however, they overlook privacy and security considerations in practical applications. LLM-based virtual patients hold significant innovation potential in medical education and are still in the early stages of development. They are primarily applied in medical training and show promise in communication skills training, although they cannot replace real-world interactions. Moreover, the heterogeneity of research designs, the absence of nonverbal cues in interactions, and concerns regarding privacy and security limit their broader implementation. Future research should focus on improving the reliability, realism, safety, and scientific efficacy of LLM-based virtual patients. Open Science Framework Registries 10.17605/OSF.IO/DMC9Q; https://osf.io/DMC9Q/overview.
41039567	10.1186/s12909-025-08006-9	2025	2025 Oct 02	Applying ChatGPT to plan and create a realistic collection of virtual patients for clinical reasoning training.	BMC medical education	Fąferek J; Kononowicz AA; Bogutska N; Da Silva Domingues V; Davydova N; Frankowska A; Iguacel I; Mayer A	BACKGROUND: Virtual patients (VPs) are useful tools in training of medical students’ clinical reasoning abilities. However, creating high-quality and peer-reviewed VPs is time-consuming and resource-intensive. Therefore, the aim of this study was to investigate whether generative artificial intelligence (AI) could facilitate the planning and creation of a diverse collection of VPs suitable for training medical students in clinical reasoning. METHODS: We used ChatGPT to generate a blueprint for 200 diverse VPs that adequately represent the population in Europe. We selected five VPs from the blueprint to be created by humans and ChatGPT. We assessed the generated blueprint for representativeness and internal consistency, and we reviewed the VPs in a multi-step, partly blinded process for didactical quality and content accuracy. Finally, we received 44 VP evaluations from medical students. RESULTS: The generated blueprint did not meet our expectations in terms of quality or representativeness and showed repetitive patterns and an unusually high number of atypical VP outlines. The ChatGPT- and human-generated VPs were comparable in terms of didactic quality and medical accuracy. Neither contained any medically incorrect information and reviewers and students could not discern significant differences. However, the five human-created VPs demonstrated a greater variety in storytelling, differential diagnosis, and patient-doctor interaction. The ChatGPT-generated VPs also included AI-generated patient images; however, we could not generate realistic clinical images. CONCLUSIONS: While we do not consider ChatGPT in its current version capable of generating a realistic blueprint for a VP collection, we believe that the process of prompting, combined with iterative discussions and refinements after each step, is promising and warrants further exploration. Similarly, although ChatGPT-generated VPs can serve as a good starting point, the variety of VP scenarios in a large collection may be limited without interactions between authors and reviewers to further refine it.
40902283	10.1016/j.nepr.2025.104536	2025	2025 Oct	Use of a generative pre-trained transformer-based virtual patient for health assessment and communication training in nursing education: A mixed-methods study.	Nurse education in practice	Kim J; Won J; Lee Y	"This study evaluated the use of a generative pre-trained transformer (GPT)-based virtual patient in nursing education. In nursing education, conventional training methods such as interactions with real-life or standardized patients exhibit limitations such as psychological distress, repetitive training and insufficient cost- and time-effectiveness. Because of their capacity to emulate human-like dialogue, GPTs have emerged as a valuable resource for educational nursing activities. This study employed a mixed-methods design. A GPT-based virtual patient with acute appendicitis was included. Twenty-eight new prospective nurses in South Korea, equipped with a head-mounted display, evaluated and communicated with the virtual patient. Usability, perceived virtual learning environment and self-efficacy in communication were measured. The GPT-generated dialogues and open-ended questions were subjected to qualitative analysis. Among the subfactors of usability, the subdomains of perceived accessibility of functions and perceived virtual learning environments achieved high scores. Furthermore, a notable increase in self-efficacy for communication was observed (t = -2.82, p = .009). The participants' experiences with the GPT-based virtual patient were divided into ""educational effects and learner experience"" and ""technical limitations and the need for improvement."" Evaluation of the dialogue between the GPT-based virtual patient and participants revealed that the readability subdomain achieved the highest score, whereas the accuracy subdomain achieved the lowest score. The findings of the present study provide insights into the advantages of employing GPT-based virtual patients, particularly regarding the perceived accessibility of functions, high scores for immersion and enhanced self-efficacy of communication."
40882613	10.2196/73419	2025	2025 Aug 29	Development and Validation of a Large Language Model-Based System for Medical History-Taking Training: Prospective Multicase Study on Evaluation Stability, Human-AI Consistency, and Transparency.	JMIR medical education	Liu Y; Shi C; Wu L; Lin X; Chen X; Zhu Y; Tan H; Zhang W	History-taking is crucial in medical training. However, current methods often lack consistent feedback and standardized evaluation and have limited access to standardized patient (SP) resources. Artificial intelligence (AI)-powered simulated patients offer a promising solution; however, challenges such as human-AI consistency, evaluation stability, and transparency remain underexplored in multicase clinical scenarios. This study aimed to develop and validate the AI-Powered Medical History-Taking Training and Evaluation System (AMTES), based on DeepSeek-V2.5 (DeepSeek), to assess its stability, human-AI consistency, and transparency in clinical scenarios with varying symptoms and difficulty levels. We developed AMTES, a system using multiple strategies to ensure dialog quality and automated assessment. A prospective study with 31 medical students evaluated AMTES's performance across 3 cases of varying complexity: a simple case (cough), a moderate case (frequent urination), and a complex case (abdominal pain). To validate our design, we conducted systematic baseline comparisons to measure the incremental improvements from each level of our design approach and tested the framework's generalizability by implementing it with an alternative large language model (LLM) Qwen-Max (Qwen AI; version 20250409), under a zero-modification condition. A total of 31 students practiced with our AMTES. During the training, students generated 8606 questions across 93 history-taking sessions. AMTES achieved high dialog accuracy: 98.6% (SD 1.5%) for cough, 99.0% (SD 1.1%) for frequent urination, and 97.9% (SD 2.2%) for abdominal pain, with contextual appropriateness exceeding 99%. The system's automated assessments demonstrated exceptional stability and high human-AI consistency, supported by transparent, evidence-based rationales. Specifically, the coefficients of variation (CV) were low across total scores (0.87%-1.12%) and item-level scoring (0.55%-0.73%). Total score consistency was robust, with the intraclass correlation coefficients (ICCs) exceeding 0.923 across all scenarios, showing strong agreement. The item-level consistency was remarkably high, consistently above 95%, even for complex cases like abdominal pain (95.75% consistency). In systematic baseline comparisons, the fully-processed system improved ICCs from 0.414/0.500 to 0.923/0.972 (moderate and complex cases), with all CVs ≤1.2% across the 3 cases. A zero-modification implementation of our evaluation framework with an alternative LLM (Qwen-Max) achieved near-identical performance, with the item-level consistency rates over 94.5% and ICCs exceeding 0.89. Overall, 87% of students found AMTES helpful, and 83% expressed a desire to use it again in the future. Our data showed that AMTES demonstrates significant educational value through its LLM-based virtual SPs, which successfully provided authentic clinical dialogs with high response accuracy and delivered consistent, transparent educational feedback. Combined with strong user approval, these findings highlight AMTES's potential as a valuable, adaptable, and generalizable tool for medical history-taking training across various educational contexts.
40776271	10.3233/SHTI251254	2025	2025 Aug 07	LLM-Based Clinical History Taking System: A Persona-Driven Approach.	Studies in health technology and informatics	Choi D; Jung Y; Kim J; Oh N; Oh H; Lee S; Seo J; Kim T	Standardized patients (SPs) are vital for clinical training but resource-intensive. We developed a systematic approach for generating SP cases using GPT-4o and validated 12 cases across three chief complaints. Expert validation showed good clinical authenticity (information flow: 3.7±0.5, realism: 3.4±0.8) and accuracy (3.4±0.5). Medical students (n=15) rated virtual patient interactions positively (appropriateness: 7.9/10, accuracy: 7.5/10). Results suggest LLM-generated SP cases offer viable educational tools complementing traditional SP programs.
40760042	10.1038/s41746-025-01841-6	2025	2025 Aug 04	A large language model digital patient system enhances ophthalmology history taking skills.	NPJ digital medicine	Luo MJ; Bi S; Pang J; Liu L; Tsui CK; Lai Y; Chen W; Yang Y	Clinical trainees face limited opportunities to practice medical history-taking skills due to scarce case diversity and access to real patients. To address this, we developed a large language model-based digital patient (LLMDP) system that transforms de‑identified electronic health records into voice‑enabled virtual patients capable of free‑text dialog and adaptive feedback, based on our previously established open-source retrieval-augmented framework. In a single‑center randomized controlled trial (ClinicalTrials.gov: NCT06229379; N = 84), students trained with LLMDP achieved a 10.50-point increase in medical history-taking assessment scores (95% CI: 4.66-16.33, p < 0.001) compared to those using traditional methods. LLMDP-trained students also demonstrated greater empathy. Participants reported high satisfaction with LLMDP, emphasizing its role in reducing training costs and boosting confidence for real patient interactions. These findings provide evidence that LLM-driven digital patients enhance medical history-taking skills and offer a scalable, low-risk pathway for integrating generative AI into ophthalmology education.
40749190	10.2196/77332	2025	2025 Aug 01	Utility of Generative Artificial Intelligence for Japanese Medical Interview Training: Randomized Crossover Pilot Study.	JMIR medical education	Hirosawa T; Yokose M; Sakamoto T; Harada Y; Tokumasu K; Mizuta K; Shimizu T	The medical interview remains a cornerstone of clinical training. There is growing interest in applying generative artificial intelligence (AI) in medical education, including medical interview training. However, its utility in culturally and linguistically specific contexts, including Japanese, remains underexplored. This study investigated the utility of generative AI for Japanese medical interview training. This pilot study aimed to evaluate the utility of generative AI as a tool for medical interview training by comparing its performance with that of traditional face-to-face training methods using a simulated patient. We conducted a randomized crossover pilot study involving 20 postgraduate year 1-2 physicians from a university hospital. Participants were randomly allocated into 2 groups. Group A began with an AI-based station on a case involving abdominal pain, followed by a traditional station with a standardized patient presenting chest pain. Group B followed the reverse order, starting with the traditional station for abdominal pain and subsequently within the AI-based station for the chest pain scenario. In the AI-based stations, participants interacted with a GPT-configured platform that simulated patient behaviors. GPTs are customizable versions of ChatGPT adapted for specific purposes. The traditional stations involved face-to-face interviews with a simulated patient. Both groups used identical, standardized case scenarios to ensure uniformity. Two independent evaluators, blinded to the study conditions, assessed participants' performances using 6 defined metrics: patient care and communication, history taking, physical examination, accuracy and clarity of transcription, clinical reasoning, and patient management. A 6-point Likert scale was used for scoring. The discrepancy between the evaluators was resolved through discussion. To ensure cultural and linguistic authenticity, all interviews and evaluations were conducted in Japanese. AI-based stations scored lower across most categories, particularly in patient care and communication, than traditional stations (4.48 vs 4.95; P=.009). However, AI-based stations demonstrated comparable performance in clinical reasoning, with a nonsignificant difference (4.43 vs 4.85; P=.10). The comparable performance of generative AI in clinical reasoning highlights its potential as a complementary tool in medical interview training. One of its main advantages lies in enabling self-learning, allowing trainees to independently practice interviews without the need for simulated patients. Nonetheless, the lower scores in patient care and communication underline the importance of maintaining traditional methods that capture the nuances of human interaction. These findings support the adoption of hybrid training models that combine generative AI with conventional approaches to enhance the overall effectiveness of medical interview training in Japan.
40676632	10.1186/s12912-025-03492-0	2025	2025 Jul 17	Effects of generative artificial intelligence (GenAI) patient simulation on perceived clinical competency among global nursing undergraduates: a cross-over randomised controlled trial.	BMC nursing	Fung TCJ; Chan SL; Lam CFM; Lam CY; Cheng CCW; Lai MH; Ho CCJ; Au SL	This study compared scenario-based generative artificial intelligence (GenAI) patient simulation with immersive 360° virtual reality (VR) simulation in terms of perceived clinical competence, cultural awareness, AI readiness, and simulation effectiveness among nursing students. This cross-over randomised controlled study design was conducted from June 2024 to August 2024. Forty-four undergraduate nursing students from years 1-3 were randomised to receive either GenAI patient simulation (Group B) or 360° VR simulation (Group A) with a one-week washout period. Five self-reported questionnaires were used to measure clinical competency: the Clinical Competence Questionnaire (CCQ), Cultural Awareness Scale (CAS), Medical Artificial Intelligence Readiness Scale for Medical Students (MAIRS-MS), Simulation Effectiveness Tool - Modified Questionnaire (SET-M), and a demographic questionnaire. Both interventions significantly improved clinical competence, cultural awareness, and AI readiness. When administered first, GenAI patient simulation demonstrated greater initial effects on clinical competence and AI readiness compared to the 360° VR simulation, though both groups achieved similar improvements by study completion. At T1, Group B (receiving GenAI) demonstrated significantly larger improvements in CCQ total score [47.68 (95% CI: 36.68, 58.68), p < 0.001] compared to Group A (receiving 360° VR) [24.95 (95% CI: 13.96, 35.95), p < 0.001], with significant between-group difference [16.59 (95% CI: 2.77, 30.41), p = 0.020]. At T2 (post-crossover), both groups maintained significant improvements. For MAIRS-MS (measured at baseline and following each group's GenAI exposure), Group B showed improvement from baseline to T1 [30.18 (95% CI: 23.35, 37.01), p < 0.001] while Group A showed improvement from baseline to T2 [16.64 (95% CI: 9.80, 23.47), p < 0.001], with significant between-group difference [12.09 (95% CI: 4.43, 19.75), p = 0.003]. Both groups experienced changes in CAS scores, though between-group differences were not statistically significant. For SET-M, most participants (75%) felt debriefing contributed to their learning, and 68.2% reported increased confidence in nursing assessment skills. The findings provide preliminary evidence of its effectiveness in enhancing perceived clinical outcomes among nursing students. Both 360° VR simulation and GenAI patient simulation may serve as effective teaching tools; however, GenAI patient simulation appeared to demonstrate a greater initial effect on clinical competence and AI readiness, although both interventions proved effective across all measured domains. Not applicable.
